Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-3451,AECS APARNA SCHOOL OF NURSING TIRUPATI,Andhra Pradesh,Krishna,1989,Rural,Nursing,Private Aided (Government Aided)
S-3900,A E C S MAARUTI SCHOOL OF NURSING BANGALORE URBAN,Karnataka,Bengaluru Urban,1992,Urban,Nursing,Private Un-Aided
S-3448,A E L C SCHOOL OF NURSING PRAKASAM,Andhra Pradesh,Prakasam,2004,Rural,Nursing,Private Un-Aided
S-3901,A E T SCHOOL OF NURSING MANDYA,Karnataka,Mandya,2003,Urban,Nursing,Private Un-Aided
S-26412,AFFINITY SCHOOL OF NURSING,Odisha,Khordha,2025,Urban,Nursing,Private Un-Aided
S-5377,AGARTALA GOVERNMENT NURSING COLLEGE,Tripura,West Tripura,1950,Urban,Nursing,State Government
S-21439,AGASTYA SCHOOL OF NURSING,Jharkhand,Ranchi,-,Rural,Nursing,Private Un-Aided
S-23856,AGRADOOT COLLEGE OF NURSING,Odisha,Nayagarh,-,Rural,Nursing,Private Un-Aided
S-15489,Agradoot School of Nursing,Odisha,Nayagarh,2006,Rural,Nursing,Private Un-Aided
S-5051,AGRANI INSTITUTE OF NURSING AND MEDICAL SCIENCE KARAULI,Rajasthan,Karauli,-,-,Nursing,-
S-25238,AHEMAN COLLEGE OF NURSING CHIKHALDARA DIST AMRAVATI,Maharashtra,Amravati,-,Rural,Nursing,Private Un-Aided
S-25169,A H M COLLEGE OF PARAMEDICAL SCIENCES,Uttar Pradesh,Bijnor,-,Rural,Nursing,State Government
S-26486,"AIGIRI COLLEGE OF MEDICAL SCIENCE, KHORDHA",Odisha,Khordha,2025,Urban,Nursing,Private Un-Aided
S-21096,AIMS NURSING COLLEGE GAJRAULA  AMROHA  UP,Uttar Pradesh,Amroha,-,Rural,Nursing,Private Aided (Government Aided)
S-15485,Aisect Junior Nursing School,Odisha,Deogarh,2008,Urban,Nursing,Private Un-Aided
S-19342,Aisha Nursing College,Uttar Pradesh,Bijnor,2016,Urban,Nursing,Private Un-Aided
S-19097,Aishwarya School of Nursing,Karnataka,Mandya,2019,Rural,Nursing,Private Un-Aided
S-4418,A J SCHOOLOF NURSING TRIVANDRUM,Kerala,Thiruvananthapuram,2001,Rural,Nursing,Private Un-Aided
S-13933,"AKANKSHA INSTITUTE OF NURSING, NAJAFGARH",Delhi,South,2011,Rural,Nursing,Private Un-Aided
S-20084,AKASH NURSING INSTITUTE,Bihar,Buxar,2013,Rural,Nursing,Private Un-Aided
S-15238,A K G Institute of Nursing and Paramedical Sciences,Uttar Pradesh,Lucknow,2012,Urban,Nursing,Private Un-Aided
S-4419,A K G MEMORIAL CO- OPERATIVE HOSPITAL KANNUR,Kerala,Kannur,1985,Rural,Nursing,Private Un-Aided
S-26406,AKHANDALMANI INSTITUTE OF MEDICAL SCIENCE (AIMS),Odisha,Bhadrak,2025,Rural,Nursing,Private Un-Aided
S-18174,AKI INSTITUTE OF NURSING,Maharashtra,Mumbai,2006,Urban,Nursing,Private Un-Aided
S-3912,AKKAMAHADEVI SCHOOL OF NURSING BANGALORE,Karnataka,Bengaluru Urban,2003,Urban,Nursing,Private Un-Aided
S-3913,AKKAMAHADEVI SCHOOL OF NURSING BIDAR,Karnataka,Bidar,1993,Rural,Nursing,Private Un-Aided
S-13989,"A.K.PATEL SCHOOL OF NURSING , VALAD, GANDHINAGAR.",Gujarat,Gandhinagar,2011,Rural,Nursing,Private Un-Aided
S-16247,A. K. School of NUrsing Manendragarh,Chhattisgarh,Korea,2011,Rural,Nursing,Private Un-Aided
S-18048,Akshar Nursing School  and College,Gujarat,Arvalli,2018,Rural,Nursing,Private Un-Aided
S-14019,"Akshar School of Nursing, Bhiloda",Gujarat,Arvalli,2009,Rural,Nursing,Private Un-Aided
S-3914,AKSHATHA INSTITUTE OF NURSING SCIENCES BELLARY,Karnataka,Ballari,2001,Urban,Nursing,Private Un-Aided
S-3915,AKSHAYA SCHOOL OF NURSING TUMKUR,Karnataka,Tumakuru,2003,Urban,Nursing,Private Un-Aided
S-15522,"Akshay Institute Of Nursing,Nanded",Maharashtra,Nanded,2014,Urban,Nursing,Private Un-Aided
S-21437,ALAKHDEO COLLEGE OF NURSING,Jharkhand,Ramgarh,-,Rural,Nursing,Private Aided (Government Aided)
S-3918,AL-AMEEN FATIMA SCHOOL OF NURSING BIJAPUR,Karnataka,Vijayapura,1998,Urban,Nursing,Private Un-Aided
S-3452,ALA SAROJINAMMA SCHOOL OF NURSING NIZAMABAD,Telangana,Nizamabad,1999,Rural,Nursing,Private Un-Aided
S-3916,AL- BADAR SCHOOL OF NURSING GULBARGA,Karnataka,Kalaburagi,2006,Urban,Nursing,Private Un-Aided
S-21398,ALICE COLLEGE OF NURSING,Gujarat,Botad,-,Rural,Nursing,Private Un-Aided
S-5378,"ALIGARH SCHOOL OF NURSING, ANOOP SHAHAR ROAD NEAR FM TOWER, ALIGARH",Uttar Pradesh,Aligarh,-,Rural,Nursing,Private Un-Aided
S-17248,Alipurduar Nursing Training School,West Bengal,Alipurduar,2016,Urban,Nursing,State Government
S-4098,AL KAREEM SCHOOL OF NURSING GULBARGA,Karnataka,Kalaburagi,2004,Urban,Nursing,Private Un-Aided
S-18261,ALKHOD SCHOOL OF NURSING,Karnataka,Raichur,2006,Rural,Nursing,Private Un-Aided
S-3919,ALLAMA PRABHU INSTITUTE OF NURSING SCIENCE BANGALORE,Karnataka,Raichur,2006,Urban,Nursing,Private Un-Aided
S-5379,ALL INDIA CHILDREN CARE & EDUCATION DEVELOPMENT SOCIETY AZAMGARH,Uttar Pradesh,Azamgarh,2002,Rural,Nursing,Private Un-Aided
S-20415,ALL INDIA INSTITUTE OF LOCAL SELF GOVERNMENT AHMEDABAD,Gujarat,Ahmedabad,1965,Urban,Nursing,Private Aided (Government Aided)
S-3917,AL- QAMAR INSTITUTE OF NURSING GULBARGA,Karnataka,Kalaburagi,2003,Urban,Nursing,Private Un-Aided
S-21148,AL SABOOR PARAMEDICAL INSTITUTE KULGAM,Jammu and Kashmir,Kulgam,-,Urban,Nursing,Private Un-Aided
S-13070,"ALURI SCHOOL OF NURSING, NEAR R.T.C. BUS STAND, PRAKASAM",Andhra Pradesh,Prakasam,2005,Urban,Nursing,Private Un-Aided
S-3920,ALVA'S INSTITUTE OF NURSING SCIENCES DAKSHINA KANNADA,Karnataka,Dakshina Kannada,1995,Rural,Nursing,Private Aided (Government Aided)
S-4423,AMALA CANCER HOSPITAL AND RESEARCH CENTRE THRISSUR,Kerala,Thrissur,1980,Rural,Nursing,Private Aided (Government Aided)
S-21840,AMARAVATHI SCHOOL OF NURSING ATCHUTAPURAM KAKINADA,Andhra Pradesh,East Godavari,-,Urban,Nursing,Private Un-Aided
S-21440,AMAR JYOTI SCHOOL OF NURSINGH CHANHO,Jharkhand,Ranchi,-,Rural,Nursing,Private Un-Aided
S-21457,"AMAR SCHOOL OF NURSING, AMARAVATHI",Andhra Pradesh,Palnadu,-,Rural,Nursing,Private Un-Aided
S-5052,AMBASSY SCHOOL OF NURSING JAIPUR,Rajasthan,Jaipur,-,Urban,Nursing,Private Un-Aided
S-14794,"AMBEDKAR ANM TRAINING SCHOOL, DANAPUR, PATNA",Bihar,Patna,2008,Rural,Nursing,Private Un-Aided
S-21828,AMBEDKAR INSTITUTE OF HIGHER EDUCATION,Jharkhand,Godda,-,Rural,Nursing,Private Un-Aided
S-17620,AMBIKA INSTITUTE FOR PARAMEDICAL STUDIES,Rajasthan,Jodhpur,2015,Rural,Nursing,Private Un-Aided
S-25493,AMBIKA INSTITUTE OF NURSING EDUCATION PALGHAR,Maharashtra,Palghar,-,Rural,Nursing,Private Un-Aided
S-22764,AMBIKA RADHACHAMPAK NURSING INSTITUTE,West Bengal,Purba Medinipur,2023,Rural,Nursing,Private Un-Aided
S-3921,AMBIKA SCHOOL OF NURSING BANGALORE RURAL,Karnataka,Bengaluru Rural,1998,Rural,Nursing,Private Un-Aided
S-21411,AMCT NURSING INSTITUTE,Gujarat,Vadodara,-,Rural,Nursing,Private Un-Aided
S-26456,"AMEENA SCHOOL OF NURSING, CHITRADURGA",Karnataka,Chitradurga,2006,Urban,Nursing,Private Un-Aided
S-26439,"AMERICAN SCHOOL OF NURSING, ANANTAPUR",Andhra Pradesh,Ananthapuramu,1988,Urban,Nursing,Private Un-Aided
S-13059,"AMG SATYAVEDAM SCHOOL OF NURSING, CHILAKALURIPET, GUNTUR",Andhra Pradesh,Guntur,2010,Urban,Nursing,Private Un-Aided
S-12939,"AMG SATYAVEDAM SCHOOL OF NURSING, SEETHAMMADHARA, VISAKHAPATNAM",Andhra Pradesh,Visakhapatnam,2010,Urban,Nursing,Private Un-Aided
S-3753,AMINABEN M GANGAT MEMORIAL SCHOOL OF NURSING SURAT,Gujarat,Surat,1991,Urban,Nursing,Private Un-Aided
S-19928,AMRAPALI NURSING INSTITUTE LUCKNOW,Uttar Pradesh,Lucknow,2018,Urban,Nursing,Private Un-Aided
S-4734,AMRAVATI GENERAL HOSPITAL AMRAVATI,Maharashtra,Amravati,1955,Urban,Nursing,State Government
S-26031,"AMRITA DEVI SCHOOL OF NURSING,BALOTRA",Rajasthan,Balotra,2024,Rural,Nursing,Private Un-Aided
S-4902,AMRITSAR SCHOOL OF NURSING AMRITSAR,Punjab,Tarn Taran,2006,Rural,Nursing,Private Un-Aided
S-19100,Amrutha School of Nursing,Karnataka,Bidar,-,Urban,Nursing,Private Un-Aided
S-18143,"AMRUTHA SCHOOL OF NURSING, PENDURTHI, VISAKHAPATNAM",Andhra Pradesh,Visakhapatnam,2017,Urban,Nursing,Private Un-Aided
S-5517,"ANANDALOKE INSTITUTE OF NURSING EDUCATION, SILIGURI",West Bengal,Darjeeling,2010,Urban,Nursing,Private Un-Aided
S-16863,Ananda school of nursing,Uttar Pradesh,Kanpur Nagar,2012,Urban,Nursing,Private Aided (Government Aided)
S-25316,ANANDI SHIKSHAN PARSARAK MANDAL KALAMBE TARF KALE KOPARDE TAL KARVEER DIST KOLHAPUR SANCHALIT ANANDI GNM COLLEGE TARF  KALE TAL KARVEER DIST KOLHAPUR,Maharashtra,Kolhapur,-,Rural,Nursing,Private Un-Aided
S-17932,"Anandi Shikshan Prasarak Mandal, Anandi Nursing School",Maharashtra,Buldhana,2000,Rural,Nursing,Private Aided (Government Aided)
S-17069,ANAND MEDICAL FOUNDATIONS NURSING INSTITUTE,Maharashtra,Pune,2006,Rural,Nursing,Private Un-Aided
S-4735,ANAND RISHIJI INSTITUTE OF NURSING AHMEDNAGAR,Maharashtra,Ahilyanagar,2005,Urban,Nursing,Private Un-Aided
S-25197,"ANAND SCHOOL OF NURSING,VAIJAPUR",Maharashtra,Chhatrapati Sambhajinagar,-,Rural,Nursing,Private Un-Aided
S-20332,ANANTA SARADA NURSING SCHOOL,Odisha,Mayurbhanj,2021,Rural,Nursing,Private Un-Aided
S-21197,ANANTA SCHOOL OF NURSING,Rajasthan,Rajsamand,2016,Rural,Nursing,Private Un-Aided
S-20996,ANANT INSTITUTE OF NURSING,Madhya Pradesh,Jabalpur,-,Urban,Nursing,Local Body
S-17083,ANANT MEDICAL COLLEGE AND HOSPITAL GORDHANPUR KHANPUR HARIDWAR,Uttarakhand,Haridwar,2015,Rural,Nursing,State Government
S-18090,Anantraj Institute of Nursing and Paramedical Sciences,Uttar Pradesh,Kanpur Dehat,2018,Rural,Nursing,Private Un-Aided
S-3924,ANANT SADVIDYA SCHOOL OF NURSING HASSAN,Karnataka,Hassan,2003,Urban,Nursing,Private Un-Aided
S-18944,ANANYA SCHOOL OF NURSING,Karnataka,Bengaluru Urban,2019,Urban,Nursing,Private Un-Aided
S-19916,ANAUEL SCHOOL OF NURSING,Karnataka,Bengaluru Urban,2019,Rural,Nursing,Private Un-Aided
S-12888,"ANBARASU INST OF MEDICAL AND RESEARCH, CHENNAI",Tamil Nadu,Kancheepuram,1993,Urban,Nursing,Private Un-Aided
S-27012,ANBU CA K  PARAMEDICAL INSTITUTE,Tamil Nadu,Sivaganga,2020,Rural,Nursing,Private Un-Aided
S-3455,ANDHRA MAHILA SABHA NURSING TRG INSTITUTE HYDERABAD,Telangana,Hyderabad,1990,Urban,Nursing,Private Aided (Government Aided)
S-26417,ANGAD NURSING COLLEGE,Punjab,Fazilka,2021,Rural,Nursing,Private Un-Aided
S-21291,ANGEL DAY SCHOOL OF NURSING,West Bengal,North 24 Parganas,-,Rural,Nursing,Private Un-Aided
S-17122,Angel Nursing School Nandurbar,Maharashtra,Nandurbar,2011,Rural,Nursing,Private Un-Aided
S-23828,ANGEL SCHOOL OF NURSING DHADGAON,Maharashtra,Nandurbar,-,Rural,Nursing,Private Un-Aided
S-22573,"ANISH COLLEGE OF NURSING, KURUNDWAD",Maharashtra,Kolhapur,-,Rural,Nursing,Private Un-Aided
S-25149,ANITA DEVI COLLEGE OF NURSING,Jharkhand,Gumla,-,Rural,Nursing,Private Un-Aided
S-16717,ANJALI COLLEGE OF NURSING STUDIES,Odisha,Khordha,2010,Rural,Nursing,Private Un-Aided
S-3925,ANJALI SCHOOL OF NURSING BIDAR,Karnataka,Bidar,2001,Rural,Nursing,Private Un-Aided
S-21272,"ANJANADEVI COLLEGE OF NURSING, JAMUJHARI,CHHATABAR,JANLA, KHORDHA,ODISHA",Odisha,Khordha,2021,Rural,Nursing,Private Aided (Government Aided)
S-19922,ANJU INSTITUTE OF NURSING SCIENCE,Bihar,Nalanda,2011,Rural,Nursing,Private Un-Aided
S-17014,ANM / FHW TRAINING SCHOOL NANAPONDHA,Gujarat,Valsad,2017,Rural,Nursing,State Government
S-14003,"ANM/ GNM GENERAL NURSING SCHOOL, GENERAL HOSPITAL, AHWA- DANG",Gujarat,Dangs,1986,Rural,Nursing,State Government
S-20437,ANM GNM NURSING SCHOOL GENERAL HOSPITAL HINGOLI,Maharashtra,Hingoli,2018,Urban,Nursing,State Government
S-17542,"ANM NURSES TRAINING CENTER, LCT GHAT, MAINPURA, PATNA",Bihar,Patna,2011,Rural,Nursing,Private Aided (Government Aided)
S-14000,"ANM NURSING SCHOOL, K K MEHTA GOVERNMENT HOSPITAL, SAVARKUNDLA",Gujarat,Amreli,1959,Urban,Nursing,State Government
S-26569,"ANM (R) TRAINING INSTITUTE, SANTIR BAZAR",Tripura,South Tripura,2017,Urban,Nursing,State Government
S-20061,ANMR TRAINING SCHOOL,West Bengal,South 24 Parganas,2007,Rural,Nursing,State Government
S-22252,"ANM R TRAINING SCHOOL AND GNM TRAINING SCHOOL,RAGHUNATHPUR SD SS HOSPITAL",West Bengal,Purulia,-,Rural,Nursing,State Government
S-20765,ANM R TRAINING SCHOOL DOMKAL SUBDIVISIONAL AND SUPERSPECIALITY HOSPITAL MURSHIDABAD,West Bengal,Murshidabad,2020,Urban,Nursing,State Government
S-19664,ANM R TRAINING SCHOOL VIDYASAGAR S G HOSPITAL BEHALA KOLKATA,West Bengal,South 24 Parganas,2002,Urban,Nursing,State Government
S-21345,ANM SCHOOL ARWAL SADAR ARWAL,Bihar,Arwal,2019,Rural,Nursing,State Government
S-12159,"ANM SCHOOL, ASSISI HOSPITAL, CHANNAPETTAH",Kerala,Kollam,1985,Rural,Nursing,Private Un-Aided
S-21554,ANM SCHOOL BAGAHA,Bihar,Pashchim Champaran,-,Urban,Nursing,State Government
S-25596,"ANM SCHOOL, BALLIA, BEGUSARAI",Bihar,Begusarai,-,Rural,Nursing,State Government
S-14778,"ANM SCHOOL, BARH",Bihar,Patna,-,Urban,Nursing,State Government
S-14769,"ANM SCHOOL, BEGUSARAI",Bihar,Begusarai,1974,Urban,Nursing,State Government
S-21564,ANM SCHOOL BELSAND SITAMARHI,Bihar,Sitamarhi,-,Rural,Nursing,State Government
S-22726,ANM SCHOOL BENIPATTTI,Bihar,Madhubani,-,Rural,Nursing,State Government
S-14781,"ANM SCHOOL, BETIAH",Bihar,Pashchim Champaran,1984,Urban,Nursing,State Government
S-14788,"ANM SCHOOL, BHAGALPUR",Bihar,Bhagalpur,2010,Urban,Nursing,State Government
S-20671,"ANM SCHOOL, BHOJPUR",Bihar,Bhojpur,1968,Urban,Nursing,State Government
S-14783,"ANM SCHOOL, BIHARSARIFF",Bihar,Nalanda,1970,Urban,Nursing,State Government
S-25605,"ANM SCHOOL BIKRAMGANJ, ROHTAS",Bihar,Rohtas,-,Urban,Nursing,State Government
S-20769,ANM SCHOOL BIRAUL,Bihar,Darbhanga,-,Rural,Nursing,State Government
S-22724,ANM SCHOOL CHAKIA,Bihar,Purbi Champaran,-,Urban,Nursing,State Government
S-14772,"ANM SCHOOL, CHAPPRA",Bihar,Saran,1980,Urban,Nursing,State Government
S-14013,"ANM SCHOOL, CHC & REFERAL HOSPITAL, CHHOTA- UDEPUR",Gujarat,Chhotaudepur,2008,Urban,Nursing,State Government
S-14004,"ANM SCHOOL, CIVIL HOSPITAL, DAHOD",Gujarat,Dahod,2008,Rural,Nursing,State Government
S-14007,"ANM SCHOOL, CIVIL HOSPITAL, RADHANPUR",Gujarat,Patan,2008,Urban,Nursing,State Government
S-14014,"ANM SCHOOL, COMMUNITY HEALTH CENTRE, BAGSARA",Gujarat,Amreli,2009,Urban,Nursing,State Government
S-14008,"ANM SCHOOL, COMMUNITY HEALTH CENTRE, CHHOTILA",Gujarat,Surendranagar,2008,Urban,Nursing,State Government
S-14001,"ANM SCHOOL, COTTAGE HOSPITAL, BHILODA",Gujarat,Arvalli,1989,Rural,Nursing,-
S-21373,ANM SCHOOL DAUDNAGAR AURANGABAD,Bihar,Aurangabad,2017,Rural,Nursing,State Government
S-14017,"ANM SCHOOL, DIVISIONAL TRAINING CENTRE, ALIABADA",Gujarat,Jamnagar,2011,Rural,Nursing,State Government
S-14018,"ANM SCHOOL, DIVISIONAL TRAINING CENTRE, PADRA",Gujarat,Vadodara,2011,Urban,Nursing,State Government
S-14748,"ANM SCHOOL, DIVISIONAL TRAINING CENTRE, SACHIN, SURAT",Gujarat,Surat,2014,Rural,Nursing,State Government
S-14786,"ANM SCHOOL, GAYA",Bihar,Gaya,1957,Urban,Nursing,State Government
S-14006,"ANM SCHOOL, G. D. GENERAL HOSPITAL, VISNAGAR",Gujarat,Mahesana,2008,Urban,Nursing,State Government
S-14009,"ANM SCHOOL, GENERAL HOSPITAL, MANDVI",Gujarat,Kachchh,2007,Rural,Nursing,State Government
S-14012,"ANM SCHOOL, GENERAL HOSPITAL, RAJPIPLA",Gujarat,Narmada,2008,Rural,Nursing,State Government
S-13995,"ANM SCHOOL, G. K. GENERAL HOSPITAL,, BHUJ",Gujarat,Kachchh,1983,Urban,Nursing,State Government
S-21558,ANM SCHOOL GOGARI KHAGARIA,Bihar,Khagaria,-,Rural,Nursing,State Government
S-13994,"ANM SCHOOL, GOVERNMENT HOSPITAL, MORBI",Gujarat,Morbi,1982,Urban,Nursing,State Government
S-14005,"ANM SCHOOL, GOVERNMENT HOSPITAL, RAPAR",Gujarat,Kachchh,-,-,Nursing,-
