Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-20441,ADARSH GYANODAY VIKAS SAMITI,Rajasthan,Sawai Madhopur,1998,Urban,Teacher Training,Central Government
S-17654,Adarsh jeevan mahavidhyalaya,Madhya Pradesh,Shivpuri,2014,Rural,Teacher Training,Private Un-Aided
S-24391,ADARSH KRISHAN COLLEGE OF EDUCATION BICHHWAN ROAD MAINPURI,Uttar Pradesh,Mainpuri,-,Rural,Teacher Training,Private Un-Aided
S-9010,ADARSH SHIKSHAN PRASARAK MANDAL NEW PANVEL RAIGAD,Maharashtra,Raigad,2005,Urban,Teacher Training,Private Un-Aided
S-9012,ADARSH SHIKSHAN PRASARAK SANSTHA JR. COLLEGE OF EDUCATION AT & PO. KHED OSMANABAD,Maharashtra,Dharashiv,2008,Rural,Teacher Training,Private Un-Aided
S-9013,ADARSH SHIKSHAN PRASARK MANKALS K. T. PATIL D. ED. BHOSALE HIGH-SCHOOL CAMPUS OSMANABAD,Maharashtra,Dharashiv,1962,Urban,Teacher Training,Private Un-Aided
S-23044,ADARSH SHIKSHAN PRASHIKSHAN COLLEGE,Uttar Pradesh,Sonbhadra,2018,Urban,Teacher Training,Private Un-Aided
S-24335,ADARSH SHIKSHAN PRASHIKSHAN COLLEGE ROBERTSGANJ SONBHADRA,Uttar Pradesh,Sonbhadra,-,Urban,Teacher Training,Private Un-Aided
S-14603,"ADHYAPAK VIDAYLAY, NASHIK",Maharashtra,Nashik,2004,Urban,Teacher Training,Private Un-Aided
S-9025,ADHYAPAK VIDYALAYA EKHATPUR SOLAPUR,Maharashtra,Solapur,1959,Rural,Teacher Training,Private Aided (Government Aided)
S-9023,ADHYAPAK VIDYALAYA JARUD AMRAVATI,Maharashtra,Amravati,1987,Rural,Teacher Training,Private Un-Aided
S-9015,"ADHYAPAK VIDYALAYA KHADAK PURA, BEED",Maharashtra,Beed,2007,Urban,Teacher Training,Private Un-Aided
S-9022,ADHYAPAK VIDYALAYA RAJAPUR (AMBEWADI) RATNAGIRI,Maharashtra,Ratnagiri,1954,Rural,Teacher Training,Private Aided (Government Aided)
S-5766,ADHYAPAN MANDIR VALLABH VIDHYALAYA BOCHASAN KHEDA,Gujarat,Anand,1964,Rural,Teacher Training,Private Aided (Government Aided)
S-9028,ADHYAPAN PADVIKA PRASHISTHAN JUNIOR COLLEGE OF EDUCATION SHIVAJI NAGAR YAVATMAL,Maharashtra,Yavatmal,1967,Urban,Teacher Training,Private Aided (Government Aided)
S-9045,"ADHYAPIKA VIDYALAYA BARSHI, SOLAPUR",Maharashtra,Solapur,1961,Urban,Teacher Training,Private Aided (Government Aided)
S-9029,ADHYPAK JUNIOR COLLEGE OF EDUCATION TASGAON SANGLI,Maharashtra,Sangli,1960,Urban,Teacher Training,Private Aided (Government Aided)
S-14602,"ADILOK DTED COLLEGE GOREGAON, GONDIA",Maharashtra,Gondia,2006,Rural,Teacher Training,Private Un-Aided
S-9031,ADITYA BAHU-UDDESHIYA SANSTHAS ADITYA DIPLOMA IN EDUCATION (D. ED. ) COLLEGE KASBE BEED BOBDE TARAF BEED,Maharashtra,Beed,2006,Urban,Teacher Training,Private Un-Aided
S-21174,"ADITYA INSTITUTE OF REHABILITATION SCIENCE, BANDIKUI",Rajasthan,Dausa,-,Urban,Teacher Training,Private Un-Aided
S-9033,ADITYA JUNIOR COLLEGE OF EDUCATION SELU PRABHANI,Maharashtra,Parbhani,2006,Urban,Teacher Training,Private Un-Aided
S-9034,ADIVASI SEVA SAHAYAK AND SHIKSHAN PRASARAK SANSTH NAVAPUR DHULE,Maharashtra,Nandurbar,1990,Rural,Teacher Training,Local Body
S-17354,Adyapeath Monikuntala Primary Teachers Training Institute,West Bengal,North 24 Parganas,2013,Urban,Teacher Training,Private Un-Aided
S-24872,ADYA PRASAD KASHI PRASAD COLLEGE OF EDUCATION BALWARGANJ SUJANGANJ JAUNPUR,Uttar Pradesh,Jaunpur,-,Rural,Teacher Training,Private Un-Aided
S-6241,AE&CS RAMPRIYA TEACHER TRAINING INSTITUTE KOLAR,Karnataka,Kolar,1984,Urban,Teacher Training,Private Un-Aided
S-6242,AFZA TEACHER TRAINING INSTITUTE KOLAR,Karnataka,Kolar,1985,Urban,Teacher Training,Private Un-Aided
S-9041,AGHAV JR. COLLEGE OF EDUCATION DHULIA STATION ROAD DHULE,Maharashtra,Dhule,1942,Urban,Teacher Training,Private Aided (Government Aided)
S-17359,Agnibina College of Education,West Bengal,Murshidabad,2013,Rural,Teacher Training,Private Aided (Government Aided)
S-7517,AGRAWAL BALIKA PRARAMBHIK SHIKSHAK PRASHIKSHAN GANGAPUR CITY,Rajasthan,Sawai Madhopur,1999,Urban,Teacher Training,Private Un-Aided
S-7679,A.G. TRUST TEACHER TRAINING INSTITUTE TIRUPUR,Tamil Nadu,Tiruppur,2004,Rural,Teacher Training,Private Un-Aided
S-24885,A H B COLLEGE OF EDUCATION,Uttar Pradesh,Firozabad,-,Rural,Teacher Training,Private Un-Aided
S-14714,"AHMED COLLEGE OF ELEMENTARY EDUCATION, RAMESHWARAPALLY, BHIKNOOR, NIZAMABAD",Telangana,Nizamabad,2012,Rural,Teacher Training,Private Un-Aided
S-14715,"AHMED INSTITUTION OF ELEMENTARY TEACHER EDUCATION, SHANKARANAGAR, BODHAN, NIZAMABAD",Telangana,Nizamabad,2012,Rural,Teacher Training,Private Un-Aided
S-15211,AHMED NAFEES TEACHER TRANING COLLEGE BHARGAIN,Uttar Pradesh,Kasganj,-,Rural,Teacher Training,Private Un-Aided
S-9044,AHMEDNAGAR EDUCATION SOCIETY JR. COLLEGE OF EDUCATION AHMEDNAGAR SATBHAI MALA AHMEDNAGAR,Maharashtra,Ahilyanagar,1947,Urban,Teacher Training,Private Aided (Government Aided)
S-17457,Ainel Primary Teachers Training Institute,West Bengal,Hooghly,2015,Rural,Teacher Training,Private Un-Aided
S-17585,Akal Sahaye College Of Education,Punjab,Faridkot,2007,Urban,Teacher Training,Private Un-Aided
S-15205,A K G Educational Institute,Uttar Pradesh,Lucknow,2014,Urban,Teacher Training,Private Un-Aided
S-8991,A. K. I. JUNIOR COLLEG OF EDUCATION KURLA MUMBAI,Maharashtra,Mumbai Suburban,1972,Urban,Teacher Training,Private Aided (Government Aided)
S-23224,AKSHAR JYOTI ACADEMY,Uttar Pradesh,Lucknow,2016,Rural,Teacher Training,Private Un-Aided
S-18694,Akshar trust,Gujarat,Vadodara,1988,Rural,Teacher Training,Private Un-Aided
S-24389,A K SINGH COLLEGE NAGLA BARI ETAH,Uttar Pradesh,Etah,-,Rural,Teacher Training,Private Un-Aided
S-25636,ALAKENDU BODH NIKETAN RESIDENTIAL,West Bengal,Kolkata,-,Urban,Teacher Training,Private Un-Aided
S-7696,AL-AMAN TEACHER TRAINING INSTITUTE RAJENDRAPURAM,Tamil Nadu,Pudukkottai,2007,Rural,Teacher Training,Private Un-Aided
S-12325,"AL AMEEN DED COLLEGE, KOLAR",Karnataka,Kolar,1979,Urban,Teacher Training,Private Aided (Government Aided)
S-9050,AL-AMEEN JR. COLLEGE OF EDUCATION JALKOT ROAD UDGIR LATUR,Maharashtra,Latur,2006,Urban,Teacher Training,Private Un-Aided
S-7519,ALANKAR MAHILA TEACHERS TRAINING SCHOOL JAIPUR,Rajasthan,Jaipur,-,Urban,Teacher Training,Private Un-Aided
S-6939,AL-AZHAR TEACHER TRAINING INSTITUTE IDUKKI,Kerala,Idukki,2004,Rural,Teacher Training,Private Un-Aided
S-14659,"ALEXANDER COLLEGE OF EDUCATION, MUQDUMPUR",Telangana,Karimnagar,2012,Rural,Teacher Training,Private Un-Aided
S-9052,ALHAJ ATHAR MIRZA URDU D. ED. COLLEGE KALAMNURI HINGOLI,Maharashtra,Hingoli,2006,Urban,Teacher Training,Private Un-Aided
S-7699,AL-HIDHAYA WOMENS TREACHER TRAINING INSTITUTE TENKASI,Tamil Nadu,Tirunelveli,2004,Rural,Teacher Training,Private Un-Aided
S-16700,ALINAGAR TEACHER S TRAINING COLLEGE,West Bengal,Murshidabad,2016,Rural,Teacher Training,Private Un-Aided
S-9053,AL-INAM-MADARSA & SOCIAL WELFARE EDUCATION SOCIETY JAISTAMBH CHOWK AMRAVATI,Maharashtra,Amravati,2005,Urban,Teacher Training,Private Un-Aided
S-14990,ALLANA URDU D.T.ED COLLEGE KUNJKHEDA,Maharashtra,Chhatrapati Sambhajinagar,2005,Rural,Teacher Training,Private Un-Aided
S-14987,ALL INDIA KHILAFAT COMMITTEE JUNIOR COLLEGE OF EDUCATION,Maharashtra,Mumbai,2004,Urban,Teacher Training,Private Un-Aided
S-25453,"ALL INDIA PINGALWARA CHARITABLE SOCIETY, MANAWALA AMRITSAR     ",Punjab,Amritsar,-,Rural,Teacher Training,Private Aided (Government Aided)
S-13442,"Al-Madina College of Education (D.Ed)  Salemnager, Mahabubnagar District",Telangana,Mahabubnagar,2009,Rural,Teacher Training,Private Un-Aided
S-12610,"AL-NAZAR D.ED. COLLEGE HOUSING BOARD COLONY, GULBARGA",Karnataka,Kalaburagi,2007,Urban,Teacher Training,Private Un-Aided
S-16765,Alokekendra Samabay Primary Teachers Training Institute,West Bengal,Paschim Medinipur,2013,Rural,Teacher Training,Private Un-Aided
S-22193,"ALOK PUBLIC SCHOOL SHIKSHA SAMITI TEACHER TRAINING CENTER DSEIDD COLLEGE TONK,RAJASTHAN",Rajasthan,Tonk,-,Urban,Teacher Training,Private Un-Aided
S-25849,AMAN INSTITUTE OF EDUCATION,Haryana,Mahendragarh,2018,Rural,Teacher Training,Private Un-Aided
S-5768,AMAR BHARATI MAHILA ADHYAPAN MANDIR GANDHINAGAR,Gujarat,Gandhinagar,2003,Rural,Teacher Training,Private Un-Aided
S-22445,AMAR JYOTI FOUNDATION,Haryana,Jind,-,Rural,Teacher Training,Private Un-Aided
S-22423,AMAR JYOTI REHABILITATION AND RESEARCH CENTRE,Delhi,East,-,Urban,Teacher Training,Private Un-Aided
S-23845,AMAR SINGH SMARAK SHIKSHAN PRASHIKSHAN SANSTHAN DUNDI AMANIGANJ AYODHYA,Uttar Pradesh,Ayodhya,-,Rural,Teacher Training,Private Un-Aided
S-16926,AMBIKA DEVI PRIMARY TEACHERS TRAINING INSTITUTE,West Bengal,Bankura,2014,Rural,Teacher Training,Private Un-Aided
S-20777,AMBIKA TEACHER TRAINING COLLEGE STC COLLEGE MALSISAR JHUNJHUNU,Rajasthan,Jhunjhunu,2015,Rural,Teacher Training,Private Un-Aided
S-18278,AMBITION COLLEGE OF EDUCATION,Madhya Pradesh,Sehore,2009,Rural,Teacher Training,Private Un-Aided
S-14837,"A M COLLEGE OF HIGHER EDUCATION, BASDEOPUR",Uttar Pradesh,Gorakhpur,2010,Rural,Teacher Training,Private Un-Aided
S-25852,AMIT MEMORIAL MAHAVIDHYALAYA,Uttar Pradesh,Agra,2012,Rural,Teacher Training,Private Un-Aided
S-13807,"Amity Institute of  Education, Saket",Delhi,South,1999,Urban,Teacher Training,Private Un-Aided
S-15191,A.M.MARATHI JUNIOR COLLEGE OF EDUCATION(D.EL.ED.),Maharashtra,Nashik,2005,Urban,Teacher Training,Private Un-Aided
S-6941,AMS MANNADIAR MEMORIAL TEACHER TRG INSTITUTE PALAKKAD,Kerala,Palakkad,1946,Rural,Teacher Training,Private Aided (Government Aided)
S-24073,"ANAND COLLEGE OF EDUCATION, ANAND NAGAR, BASUCHAK, GHAZIPUR",Uttar Pradesh,Ghazipur,-,Rural,Teacher Training,Private Un-Aided
S-12603,"ANAND D.ED. COLLEGE MARAGUTTI CROSS, GULABARGA",Karnataka,Kalaburagi,1990,Rural,Teacher Training,Private Un-Aided
S-9058,ANAND GRAM KRISHI VIKAS MANDALS TQ. BHOOM OSMANABAD,Maharashtra,Dharashiv,1989,Rural,Teacher Training,Private Un-Aided
S-25966,"ANAND MAHILA MAHAVIDYALAYA, PLOT NO 1026, BARSERVA, BAHADURPUR, LALGANJ, AZAMGARH",Uttar Pradesh,Azamgarh,2016,Rural,Teacher Training,Private Un-Aided
S-9062,ANANT SHIKSHAN SANSTHAKUNDALIKRAO NAGARE ADHYPAK VIDALAYA D. ED TQ. RISOD WASHIM,Maharashtra,Washim,2008,Rural,Teacher Training,Private Un-Aided
S-7712,ANDAVAR TEACHER TRAINING INSTITUTE FIRST BEACH LINE ROAD,Tamil Nadu,Nagapattinam,2004,Rural,Teacher Training,Private Un-Aided
S-21384,ANGIRA COLLEGE OF EDUCATION NIWARI,Madhya Pradesh,Niwari,-,Rural,Teacher Training,Private Aided (Government Aided)
S-9063,ANGLO JUNIOR COLLEGE OF EDUCATION KALI MUJID ROAD NANDURBAR,Maharashtra,Nandurbar,2007,Urban,Teacher Training,Private Un-Aided
S-18501,Anjali memorial college of education and training,West Bengal,South 24 Parganas,2018,Rural,Teacher Training,Private Un-Aided
S-26216,"ANJANA INSTITUTE OF TECHNICAL EDUCATION, MADUPUR SAKRAULI, SADAR, PRATAPGARH",Uttar Pradesh,Pratapgarh,2012,Rural,Teacher Training,Private Un-Aided
S-10999,ANJUMAN EDU MAHILA PTC COLLEGE BALASINOR,Gujarat,Kheda,2006,Rural,Teacher Training,Private Un-Aided
S-10998,ANJUMAN EDU PURUSH PTC COLLEGE BALASINOR,Gujarat,Kheda,2006,Urban,Teacher Training,Private Un-Aided
S-6265,ANJUMANE ISLAM DHARWAD,Karnataka,Dharwad,2004,Urban,Teacher Training,Private Un-Aided
S-9068,ANJUMAN-I-ISLAM M. H. JR. COLLEGE OF EDUCATION FOR WOMEN MAHIM MUMBAI,Maharashtra,Mumbai,1971,Urban,Teacher Training,Private Aided (Government Aided)
S-9066,ANJUMAN ISBAT-E-TALIM BEEDS MILIYA URDU D. ED. COLLEGE BEED,Maharashtra,Beed,1986,Urban,Teacher Training,Private Un-Aided
S-9067,ANJUMAN JUNIOR COLLEGE OF EDUCATION KHAMGAON BULDANA,Maharashtra,Buldhana,2008,Urban,Teacher Training,Private Un-Aided
S-12489,"ANJUMAN KANNADA TTI, BADAMI",Karnataka,Bagalkote,2004,Urban,Teacher Training,Private Un-Aided
S-6260,ANJUMAN TEACHER TRAINING INSTITUTE HUBLI DHARWAD,Karnataka,Dharwad,1995,Urban,Teacher Training,Private Un-Aided
S-6264,ANJUMAN URDU TEACHERS TRAINING INSTITUTE BIJAPUR,Karnataka,Vijayapura,1970,Urban,Teacher Training,Private Aided (Government Aided)
S-15760,ANKALIKAR VANI MASIK PATRIKA SAMITI B T C COLLEGE PARASANI ETAWAH,Uttar Pradesh,Etawah,2012,Rural,Teacher Training,Private Un-Aided
S-17012,ANKUR SPECIAL SCHOOL FOR MENTALLY RETARDED CHILDREN,Gujarat,Bhavnagar,1980,Rural,Teacher Training,Private Un-Aided
S-21175,ANMOL SPECIAL TEACHER TRAINING CENTER,Rajasthan,Jaipur,-,Urban,Teacher Training,Private Un-Aided
S-7715,ANNA ADARSH TEACHER TRAINING INSTITUTE PONNERI,Tamil Nadu,Thiruvallur,2006,Rural,Teacher Training,Private Un-Aided
S-13902,"ANNAI J.K.K. TEACHER TRAINING INSTITUTE, KOMARAPALAYAM, NAMAKKAL",Tamil Nadu,Namakkal,2007,Rural,Teacher Training,Private Un-Aided
S-7730,ANNAI TEACHER TRAINING INSTITUTE KOVILACHERRY KUMBAKONAM,Tamil Nadu,Thanjavur,2005,Rural,Teacher Training,Private Un-Aided
S-7740,ANNAI VEILANKANNI TEACHER TRAINING INSTITUTE PUDUR,Tamil Nadu,Chennai,2008,Urban,Teacher Training,Private Un-Aided
S-7741,ANNAI VELU TEACHER TRAINING INSTITUTE,Tamil Nadu,Madurai,2009,Rural,Teacher Training,Private Un-Aided
S-9070,ANNASAHEB H. GHADGE PATIL RURAL DED COLLEGE SHEVGAON AHMEDNAGAR,Maharashtra,Ahilyanagar,2007,Rural,Teacher Training,Local Body
S-13461,"Annie Bescent College of Elementary Teacher Education, Ponnekal, Khammam (R)",Telangana,Khammam,2007,Rural,Teacher Training,Private Un-Aided
S-20844,ANNPURNA BSTC SCHOOL,Rajasthan,Sikar,2021,Rural,Teacher Training,State Government
S-17696,ANP Teachers Training B.Ed. College,West Bengal,Dakshin Dinajpur,2017,Rural,Teacher Training,Private Un-Aided
S-14665,"ANUBOSE TEACHER TRAINING COLLEGE, PALONCHA",Telangana,Khammam,2012,Urban,Teacher Training,Private Un-Aided
S-13436,"Anwaru-ul-uloom College of Elementary Teacher Education, New Malakpet, Hyderabad",Telangana,Hyderabad,2008,Urban,Teacher Training,Private Un-Aided
S-19783,AOES TEACHER TRAINING CENTRE,Rajasthan,Baran,1996,Urban,Teacher Training,Central Government
S-23223,APMIT TEACHERS EDUCATION INSTITUTE,Uttar Pradesh,Prayagraj,2015,Rural,Teacher Training,Private Un-Aided
S-18885,APNA COLLEGE,Haryana,Mahendragarh,2018,Rural,Teacher Training,Private Aided (Government Aided)
S-14658,"APOORVA COLLEGE OF EDUCATION, BHOOPATHIPOOR",Telangana,Karimnagar,2012,Rural,Teacher Training,Private Aided (Government Aided)
S-6942,APRM TEACHER TRAINING INSTITUTE KOLLAM,Kerala,Kollam,-,Rural,Teacher Training,Private Un-Aided
S-24137,APRUP SHIKSHAN SANSTHAN,Uttar Pradesh,Varanasi,-,Rural,Teacher Training,Private Un-Aided
S-17218,A P S COLLEGE OF EDUCATION AND TECHNOLOGY VILL KHIWAI ROHTA ROAD POST AND TEHSIL SARDHANA MEERUT,Uttar Pradesh,Meerut,2012,Rural,Teacher Training,Private Un-Aided
S-26894,ARADHANA PTC COLLEGE  PAVI JETPUR ,Gujarat,Chhotaudepur,2004,Rural,Teacher Training,Private Un-Aided
S-12255,"ARATAL RUDRAGOUDA DED COLLEGE MUNDARGI ROAD, GADAG",Karnataka,Gadag,2004,Urban,Teacher Training,Private Un-Aided
S-12863,"ARAVALI TEACHERS TRAINING COLLEGE NEEM KA THANA, JUNJHUNU",Rajasthan,Sikar,2007,Urban,Teacher Training,Private Un-Aided
S-18750,ARAWALI SHIKSHA EVAM ANUSANDHAN SANSTHAN,Rajasthan,Sikar,2008,Rural,Teacher Training,Private Un-Aided
S-16665,ARCADIAN INSTITUTE OF HIGHER EDUCATION,Uttar Pradesh,Mathura,2011,Rural,Teacher Training,Private Un-Aided
S-7744,ARCOT SRI MAHALAKSHMI WOMENS INSTITUTE OF TTI ARCOT,Tamil Nadu,Vellore,2004,Rural,Teacher Training,Private Un-Aided
S-13914,"ARINGAR ANNA TEACHER TRAINING INSTITUTE, THOOTHUKUDI",Tamil Nadu,Thoothukkudi,2005,Urban,Teacher Training,Private Un-Aided
S-7746,ARINGAR ANNA TEACHER TRAINING INSTITUTE VEDARANIAM,Tamil Nadu,Nagapattinam,2008,Rural,Teacher Training,Private Un-Aided
S-17251,ARISTOTLE COLLEGE OF EDUCATION,West Bengal,Purba Bardhaman,2016,Rural,Teacher Training,Private Un-Aided
S-14574,"ARISTOTLE RURAL D.ED COLLEGE, MARIKUPPAM, KGF",Karnataka,Kolar,2008,Rural,Teacher Training,Private Un-Aided
S-6270,ARISTOTLE T.T.I KOLAR,Karnataka,Kolar,2004,Rural,Teacher Training,Private Un-Aided
S-7521,ARJUN RAM SHEKSHAN PRASHIKSHAN VIDYALAYA SIKAR,Rajasthan,Sikar,2007,Urban,Teacher Training,Private Un-Aided
S-23888,Arjun Singh Mahavidhyalaya,Uttar Pradesh,Varanasi,-,Rural,Teacher Training,Private Un-Aided
S-7173,ARNEJA COLEGE OF EDUCATION GWALIOR,Madhya Pradesh,Gwalior,-,-,Teacher Training,Private Un-Aided
S-7751,ARULMIGU KALASALINGAM TEACHER TRAINING INSTITUTE,Tamil Nadu,Virudhunagar,2005,Rural,Teacher Training,Private Un-Aided
S-7753,ARUMUGAM NALLAMANI TEACHER TRAINING INSTITUTE SRI RAM NALLAMANI PUBLIC CHRT 70 TPK ROAD,Tamil Nadu,Tirunelveli,2006,Rural,Teacher Training,Private Un-Aided
S-7755,ARUMUGAM TEACHER TRAINING INSTITUTE GANDHI RO ALANGUNDY,Tamil Nadu,Pudukkottai,2006,Rural,Teacher Training,Private Aided (Government Aided)
S-14855,"ARUNA BAI D Ed COLLEGE, HUGGELLI",Telangana,Medak,2011,Rural,Teacher Training,Private Un-Aided
S-12062,"ARUNDHATI D.ED COLLEGE RANGAMPET, GULBARGA",Karnataka,Yadgir,2005,Urban,Teacher Training,Private Un-Aided
