Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-21331,GL BAJAJ INSTITUTE OF MANAGEMENT AND RESEARCH PGDM INSTITUTE,Uttar Pradesh,Gautam Buddha Nagar,-,Urban,PGDM Institutes,Private Un-Aided
S-19502,GLOBAL INSTITUTE OF BUSINESS STUDIES,Karnataka,Bengaluru Urban,2020,Urban,PGDM Institutes,Private Un-Aided
S-14851,GLOBSYN BUSINESS SCHOOL,West Bengal,South 24 Parganas,2011,Rural,PGDM Institutes,Private Un-Aided
S-19469,GNIOT INSTITUTE OF MANAGEMENT STUDIES,Uttar Pradesh,Gautam Buddha Nagar,2020,Urban,PGDM Institutes,Private Un-Aided
S-87,GOA INSTITUTE OF MANAGEMENT,Goa,North Goa,1993,Rural,PGDM Institutes,Private Un-Aided
S-20550,GRANTHAMM COLLEGE OF MANAGEMENT,Madhya Pradesh,Gwalior,2020,Urban,PGDM Institutes,Private Un-Aided
S-22409,"GREATER NOIDA INSTITUTE OF MANAGEMENT, GREATER NOIDA",Uttar Pradesh,Gautam Buddha Nagar,-,Urban,PGDM Institutes,Private Un-Aided
S-327,GREAT LAKES INSTITUTE OF MANAGEMENT,Tamil Nadu,Chennai,2004,Rural,PGDM Institutes,Private Un-Aided
S-17295,"Great Lakes Institute of Management, Gurgaon",Haryana,Gurugram,2016,Urban,PGDM Institutes,Private Un-Aided
S-18432,GURUKUL ACADEMY,Madhya Pradesh,Indore,-,Rural,PGDM Institutes,Private Un-Aided
S-204,GURUNANAK INSTITUTE OF MANAGEMENT STUDIES,Maharashtra,Mumbai,2002,Urban,PGDM Institutes,Private Un-Aided
S-18430,GYANKUNJ INTERNATIONAL,Madhya Pradesh,Khargone (West Nimar),-,Rural,PGDM Institutes,Private Un-Aided
S-19348,HAL MANAGEMENT ACADEMY,Karnataka,Bengaluru Urban,-,Urban,PGDM Institutes,Central Government
S-15315,HLM BUSINESS SCHOOL,Uttar Pradesh,Ghaziabad,2010,Rural,PGDM Institutes,Private Un-Aided
S-20547,IAEER PIBMS INSTITUTE OF PGDM,Maharashtra,Pune,2019,Rural,PGDM Institutes,Private Un-Aided
S-119,IBMR BUSINESS SCHOOL,Haryana,Jhajjar,2008,Rural,PGDM Institutes,Private Un-Aided
S-18094,I Business Institute,Uttar Pradesh,Gautam Buddha Nagar,2008,Urban,PGDM Institutes,Private Un-Aided
S-25,ICAR NATIONAL ACADEMY OF AGRICULTURAL RESEARCH MANAGEMENT,Telangana,Hyderabad,1976,Urban,PGDM Institutes,Central Government
S-19001,ICAR NATIONAL ACADEMY OF AGRICULTURAL RESEARCH MANAGEMENT,Telangana,Ranga Reddy,-,Urban,PGDM Institutes,Central Government
S-17598,ICA-The Institute of Certified  Accountants,Kerala,Malappuram,-,Urban,PGDM Institutes,Private Un-Aided
S-483,IDEAL BUSINESS SCHOOL,Uttarakhand,Haridwar,2011,Rural,PGDM Institutes,Private Aided (Government Aided)
S-386,IEM INSTITUTE OF BUSINESS MANAGEMENT,Uttar Pradesh,Bara Banki,2009,Rural,PGDM Institutes,Private Un-Aided
S-205,IES's Management College and Research Centre,Maharashtra,Mumbai,1998,Urban,PGDM Institutes,Private Un-Aided
S-21864,IIITM EDUCATION INDIA,The Dadra and Nagar Haveli and Daman and Diu,Daman,-,Urban,PGDM Institutes,Private Un-Aided
S-389,IILM GRADUATE SCHOOL OF MANAGEMENT,Uttar Pradesh,Gautam Buddha Nagar,1993,Urban,PGDM Institutes,Private Un-Aided
S-16690,IMI Bhubaneswar,Odisha,Khordha,2011,Rural,PGDM Institutes,Private Un-Aided
S-18984,IMI Business School,Madhya Pradesh,Indore,2019,Urban,PGDM Institutes,Private Un-Aided
S-17631,IMI DELHI,Delhi,South,1981,Urban,PGDM Institutes,Private Un-Aided
S-10917,IMI Kolkata,West Bengal,South 24 Parganas,2011,Urban,PGDM Institutes,Private Un-Aided
S-19834,IMPERIAL INSTITUTION OF MANAGEMENT GWALIOR,Madhya Pradesh,Gwalior,-,Rural,PGDM Institutes,Private Un-Aided
S-14894,"INDIAN INSTITUTE OF FINANCE, GREATER NOIDA",Uttar Pradesh,Gautam Buddha Nagar,1987,Urban,PGDM Institutes,Private Un-Aided
S-25926,INDIAN INSTITUTE OF MATERIALS MANAGEMENT,Maharashtra,Mumbai,2018,Urban,PGDM Institutes,Private Un-Aided
S-485,INDIAN INSTITUTE OF SOCIAL WEFLFARE & BUSINESS MANAGEMENT,West Bengal,Kolkata,1953,Urban,PGDM Institutes,Private Aided (Government Aided)
S-207,INDIRA SCHOOL OF BUSINESS STUDIES PGDM,Maharashtra,Pune,2006,Urban,PGDM Institutes,Private Un-Aided
S-18429,INDORE INTERNATIONAL COLLEGE,Madhya Pradesh,Indore,-,Urban,PGDM Institutes,Private Un-Aided
S-176,INDORE MANAGEMENT INSTITUTE AND RESEARCH CENTRE,Madhya Pradesh,Indore,2009,Rural,PGDM Institutes,Private Un-Aided
S-142,INDUS BUSINESS ACADEMY,Karnataka,Bengaluru Rural,2010,Rural,PGDM Institutes,Private Aided (Government Aided)
S-14766,"INNOVATION-THE BUSINESS SCHOOL, MUKTAPUR, KHURDA",Odisha,Khordha,2009,Rural,PGDM Institutes,Private Un-Aided
S-394,INSITITUTE OF MANAGEMENT TECHNOLOGY GHAZIABAD,Uttar Pradesh,Ghaziabad,1980,Urban,PGDM Institutes,Private Aided (Government Aided)
S-208,INSTITUTE FOR FUTURE EDUCATION ENTREPRENEURSHIP AND LEADERSHIP,Maharashtra,Pune,2010,Rural,PGDM Institutes,Private Un-Aided
S-10909,INSTITUTE OF ADVANCED MANAGEMENT NORTH 24 PARGANAS,West Bengal,North 24 Parganas,1995,Urban,PGDM Institutes,Private Un-Aided
S-13791,"INSTITUTE OF BUSINESS MANAGEMENT, BUDHMARG PATNA",Bihar,Patna,1979,Urban,PGDM Institutes,Private Un-Aided
S-17306,INSTITUTE OF INSURANCE AND RISK MANAGEMENT(IIRM),Telangana,Ranga Reddy,2003,Rural,PGDM Institutes,Private Un-Aided
S-16245,Institute of Management And Information Science,Odisha,Khordha,1995,Urban,PGDM Institutes,Private Un-Aided
S-278,INSTITUTE OF MANAGEMENT BHUBANESWAR,Odisha,Khordha,1995,Urban,PGDM Institutes,Private Un-Aided
S-22621,INSTITUTE OF MANAGEMENT EDUCATION AND CONSULTANCY,Uttarakhand,Udham Singh Nagar,-,-,PGDM Institutes,Private Un-Aided
S-26626,INSTITUTE OF MANAGEMENT SCIENCE PATNA,Bihar,Patna,2025,Rural,PGDM Institutes,Private Un-Aided
S-402,INSTITUTE OF MANAGEMENT STUDIES,Uttar Pradesh,Ghaziabad,1990,Urban,PGDM Institutes,Private Un-Aided
S-19468,INSTITUTE OF MANAGEMENT TECHNOLOGY CENTRE FOR DISTANCE LEARNING GHAZIABAD,Uttar Pradesh,Ghaziabad,2006,Urban,PGDM Institutes,Private Un-Aided
S-26286,INSTITUTE OF MANAGEMENT TECHNOLOGY HYDERABAD,Telangana,Ranga Reddy,2011,Rural,PGDM Institutes,Private Un-Aided
S-14562,"INSTITUTE OF MANAGEMENT TECHNOLOGY, HYDERABAD",Telangana,Hyderabad,2011,Urban,PGDM Institutes,Private Un-Aided
S-12874,"INSTITUTE OF MARKETING AND MANAGEMENT, QUTAB INSTITUTIONAL AREA",Delhi,South,1969,Urban,PGDM Institutes,Private Aided (Government Aided)
S-14516,"INSTITUTE OF PRODUCTIVITY AND MANAGEMENT, LUCKNOW",Uttar Pradesh,Lucknow,-,Urban,PGDM Institutes,Private Un-Aided
S-14542,"INSTITUTE OF PUBLIC ENTERPRISE, SHAMIRPET (V&M), HYDERABAD",Telangana,MEDCHAL MALKAJGIRI,1964,Rural,PGDM Institutes,Private Un-Aided
S-305,INSTITUTE OF RURAL MANAGEMENT,Rajasthan,Jaipur,1994,Urban,PGDM Institutes,Private Un-Aided
S-92,Institute of Rural Management Anand (IRMA),Gujarat,Anand,1979,Urban,PGDM Institutes,Private Un-Aided
S-17594,Institute of Science and Management,Jharkhand,Ranchi,1985,Urban,PGDM Institutes,Private Un-Aided
S-578,INTEGRAL INSTITUTE OF ADVANCED MANAGEMENT (IIAM),Andhra Pradesh,Visakhapatnam,1987,Urban,PGDM Institutes,Private Un-Aided
S-21485,INTERNATIONAL  INSTITUTE OF BUSINESS STUDY,Karnataka,Bengaluru Urban,-,Urban,PGDM Institutes,Private Un-Aided
S-70,INTERNATIONAL INSTITUTE OF HEALTH MANAGEMENT RESEARCH,Delhi,South West,2008,Urban,PGDM Institutes,Private Un-Aided
S-10916,INTERNATIONAL INSTITUTE OF HOTEL MAGEMENT NORTH 24 PARGANAS,West Bengal,Kolkata,1998,Urban,PGDM Institutes,Private Un-Aided
S-216,INTERNATIONAL INSTITUTE OF MANAGEMENT STUDIES,Maharashtra,Pune,2008,Rural,PGDM Institutes,Private Un-Aided
S-26471,INTERNATIONAL MANAGEMENT AND ANALYTICS SCHOOL KOLKATA,West Bengal,South 24 Parganas,2025,Rural,PGDM Institutes,Private Un-Aided
S-18276,INTERNATIONAL SCHOOL OF BUSINESS ADMINISTRATION,Madhya Pradesh,Indore,-,Rural,PGDM Institutes,Private Un-Aided
S-19654,INTERNATIONAL SCHOOL OF BUSINESS ADMINISTRATION,Madhya Pradesh,Neemuch,-,Rural,PGDM Institutes,Private Aided (Government Aided)
S-20560,INTERNATIONAL SCHOOL OF BUSINESS ADMINISTRATION SANWER,Madhya Pradesh,Indore,-,Rural,PGDM Institutes,Private Un-Aided
S-217,INTERNATIONAL SCHOOL OF BUSINESS AND MEDIA,Maharashtra,Pune,2008,Rural,PGDM Institutes,Private Un-Aided
S-21330,INTERNATIONAL SCHOOL OF BUSINESS AND MEDIA,Karnataka,Bengaluru Rural,2005,Rural,PGDM Institutes,Private Un-Aided
S-20416,INTERNATIONAL SCHOOL OF BUSINESS AND MEDIA KOLKATA,West Bengal,South 24 Parganas,2017,Rural,PGDM Institutes,Private Un-Aided
S-17777,International School of Management Excellence,Karnataka,Bengaluru Urban,2006,Urban,PGDM Institutes,Private Un-Aided
S-14956,INTERNATIONAL SCHOOL OF MANAGEMENT PATNA,Bihar,Patna,2011,Rural,PGDM Institutes,Private Un-Aided
S-280,INTERSCIENCE INSTITUTE OF MANAGEMENT AND TECHNOLOGYBHUBANESWAR,Odisha,Khordha,2008,Rural,PGDM Institutes,Private Aided (Government Aided)
S-19655,ISBA COLLEGE,Madhya Pradesh,Neemuch,-,Rural,PGDM Institutes,Private Un-Aided
S-23771,ISBM SCHOOL OF COMMUNICATION AND MEDIA MANAGEMENT,Maharashtra,Pune,2023,Rural,PGDM Institutes,Private Un-Aided
S-145,ISBR BUSINESS SCHOOL,Karnataka,Bengaluru Urban,2010,Urban,PGDM Institutes,Private Un-Aided
S-23282,ISMS TBS,Maharashtra,Pune,2023,Rural,PGDM Institutes,Private Un-Aided
S-19651,ITM BUSINESS SCHOOL WARANGAL,Telangana,Warangal,-,Urban,PGDM Institutes,Private Un-Aided
S-19478,ITS SCHOOL OF MANAGEMENT,Uttar Pradesh,Ghaziabad,2020,Urban,PGDM Institutes,Private Un-Aided
S-20903,JAGAN INSTITUTE OF MANAGEMENT STUDIES,Rajasthan,Jaipur,2006,Rural,PGDM Institutes,Private Un-Aided
S-782,JAGAN INSTITUTE OF MANAGEMENT STUDIES TECHNICAL CAMPUS,Delhi,North West,-,-,PGDM Institutes,-
S-74,JAGANNATH INTERNATIONAL MANAGEMENT SCHOOL,Delhi,South,1997,Urban,PGDM Institutes,Private Un-Aided
S-144,JAGDISH SHETH SCHOOL OF MANAGEMENT,Karnataka,Bengaluru Urban,1995,Urban,PGDM Institutes,Private Un-Aided
S-20409,JAI MAA PITAMBRA COLLEGE OF MANAGEMENT,Madhya Pradesh,Datia,-,Urban,PGDM Institutes,Private Un-Aided
S-309,JAIPURIA INSTITUTE OF MANAGEMENT,Rajasthan,Jaipur,2006,Urban,PGDM Institutes,Private Un-Aided
S-179,JAIPURIA INSTITUTE OF MANAGEMENT INDORE,Madhya Pradesh,Indore,2010,Rural,PGDM Institutes,Private Un-Aided
S-3283,"JAIPURIA INSTITUTE OF MANAGEMENT, NOIDA",Uttar Pradesh,Gautam Buddha Nagar,2004,Urban,PGDM Institutes,Private Un-Aided
S-419,JAIPURIA ISNTITUTE OF MANAGEMENT LUCKNOW,Uttar Pradesh,Lucknow,1995,Urban,PGDM Institutes,Private Un-Aided
S-418,"JAIPURIA SCHOOL OF BUSINESS, GAZIABAD",Uttar Pradesh,Ghaziabad,2008,Urban,PGDM Institutes,Private Un-Aided
S-420,JANHIT SCHOOL OF MANAGEMENT,Uttar Pradesh,Ghaziabad,2009,Rural,PGDM Institutes,Private Un-Aided
S-21049,JAYADEVA BUSINESS SCHOOL,Odisha,Khordha,-,Urban,PGDM Institutes,Private Un-Aided
S-21480,JIO INSTITUTE,Maharashtra,Raigad,-,Urban,PGDM Institutes,Private Un-Aided
S-111,JK BUSINESS SCHOOL,Haryana,Gurugram,-,Rural,PGDM Institutes,Private Un-Aided
S-19403,JPB COLLEGE,Madhya Pradesh,Vidisha,2019,Rural,PGDM Institutes,Private Un-Aided
S-10923,JYOTIRMOY SCHOOL OF BUSINESS KOLKATA,West Bengal,Kolkata,2010,Urban,PGDM Institutes,Private Un-Aided
S-26415,KALINGA INSTITUTE OF MANAGEMENT AND TECHNOLOGY,Odisha,Khordha,2025,Urban,PGDM Institutes,Private Un-Aided
S-1171,KEJRIWAL INSTITUTE OF MANAGEMENT AND DEVELOPMENT STUDIES,Jharkhand,Ranchi,2009,Rural,PGDM Institutes,Private Un-Aided
S-21313,KIRLOSKAR INSTITUTE OF MANAGEMENT,Karnataka,Davanagere,-,Urban,PGDM Institutes,Private Un-Aided
S-17687,"KIRLOSKAR INSTITUTE OF MANAGEMENT, PUNE",Maharashtra,Pune,2010,Rural,PGDM Institutes,Private Un-Aided
S-18353,K. K. VYAVSIK ADHAYAYAN MAHAVIDHYALAYA,Madhya Pradesh,Indore,-,Urban,PGDM Institutes,Private Un-Aided
S-21910,KMCT SCHOOL OF MANAGEMENT,Kerala,Kozhikode,-,Rural,PGDM Institutes,Private Un-Aided
S-222,KOHINOOR MANAGEMENT SCHOOL,Maharashtra,Mumbai,2020,Urban,PGDM Institutes,Private Un-Aided
S-283,KRUPAJAL BUSINESS SCHOOL,Odisha,Khordha,2007,Rural,PGDM Institutes,Private Un-Aided
S-19653,KRUPANIDHI SCHOOL OF MANAGEMENT,Karnataka,Bengaluru Urban,2020,Urban,PGDM Institutes,Central Government
S-75,LAL BAHADUR SHASTRI INSTITUTE OF MANAGEMENT,Delhi,South West,-,Urban,PGDM Institutes,Private Un-Aided
S-3305,Lal Bahadur Shastri Institute of Management and Technology,Uttar Pradesh,Bareilly,1996,Rural,PGDM Institutes,Private Un-Aided
S-19401,LAL BAHADUR SHASTRI INSTITUTE OF MANAGEMENT INDORE,Madhya Pradesh,Indore,2020,Rural,PGDM Institutes,Central Government
S-22462,LEADERS COLLEGE,Kerala,Kannur,-,Urban,PGDM Institutes,Private Un-Aided
S-223,Lexicon Management Institute of Leadership and Excellence,Maharashtra,Pune,2010,Urban,PGDM Institutes,Private Un-Aided
S-435,LLOYD BUSINESS SCHOOL,Uttar Pradesh,Gautam Buddha Nagar,2008,Urban,PGDM Institutes,Private Un-Aided
S-331,LOYOLA INSTITUTE OF BUSINESS ADMINISTRATION,Tamil Nadu,Chennai,1979,Urban,PGDM Institutes,Private Un-Aided
S-19051,MADRAS SCHOOL OF ECONOMICS,Tamil Nadu,Chennai,1993,Urban,PGDM Institutes,Private Un-Aided
S-21911,MAHARAJA AGRASEN BUSINESS SCHOOL,Delhi,North West,-,Urban,PGDM Institutes,Private Un-Aided
S-17633,MALWA INSTITUTE OF MANAGEMENT,Madhya Pradesh,Gwalior,2018,Urban,PGDM Institutes,Private Un-Aided
S-113,MANAGEMENT DEVELOPMENT INSTITUTE,Haryana,Gurugram,-,Urban,PGDM Institutes,Private Un-Aided
S-17678,Management Development Institute Murshidabad,West Bengal,Murshidabad,2014,Rural,PGDM Institutes,Private Un-Aided
S-441,MASCOT INSTITUTE OF MANAGEMENT,Uttar Pradesh,Bareilly,2009,Rural,PGDM Institutes,Private Un-Aided
S-442,MASTER SCHOOL OF MANAGEMENT,Uttar Pradesh,Meerut,1996,Urban,PGDM Institutes,Private Un-Aided
S-1359,MATS INSTITUTE OF MANAGEMENT & ENTREPRENURSHIP,Karnataka,Bengaluru Urban,2008,Rural,PGDM Institutes,Private Un-Aided
S-24239,MCC BOYD TANDON SCHOOL OF BUSINESS    ,Tamil Nadu,Chengalpattu,-,Urban,PGDM Institutes,Private Un-Aided
S-227,MET Institute of Post Graduate Diploma in Management,Maharashtra,Mumbai,2007,Urban,PGDM Institutes,Private Un-Aided
S-14875,MICA,Gujarat,Ahmedabad,1991,Rural,PGDM Institutes,Private Un-Aided
S-1959,MIMA Institute of Management,Maharashtra,Pune,2006,Urban,PGDM Institutes,Private Un-Aided
S-19750,MIT SCHOOL OF DISTANCE EDUCATION,Maharashtra,Pune,2018,Rural,PGDM Institutes,Private Un-Aided
