Aishe Code,Name,State,District,Year Of Establishment,Location,Standalone Type,Manegement
S-22101,"FOOD CRAFT INSTITUTE, UDMA",Kerala,Kasaragod,-,Rural,Hotel Management and Catering,State Government
S-26337,"GURU NANAK INSTITUTE OF HOTEL MANAGEMENT, KOLKATA",West Bengal,North 24 Parganas,2005,Urban,Hotel Management and Catering,Private Un-Aided
S-17784,INSTITUTE OF HOTEL MANAGEMENT,Meghalaya,East Khasi Hills,2000,Rural,Hotel Management and Catering,Central Government
S-18339,INSTITUTE OF HOTEL MANAGEMENT,Punjab,Gurdaspur,1994,Rural,Hotel Management and Catering,Central Government
S-15148,INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY,The Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2010,Rural,Hotel Management and Catering,Central Government
S-18348,INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY KOVALAM,Kerala,Thiruvananthapuram,-,Rural,Hotel Management and Catering,Central Government
S-18192,INSTITUTE OF HOTEL MANAGEMENT CATERING AND NUTRITION AHMEDABAD,Gujarat,Gandhinagar,1972,Urban,Hotel Management and Catering,Central Government
S-15245,"INSTITUTE OF HOTEL MANAGEMENT CATERING AND NUTRITION, KUFRI, SHIMLA-171012",Himachal Pradesh,Shimla,1983,Rural,Hotel Management and Catering,Central Government
S-18697,INSTITUTE OF HOTEL MANAGEMENT CATERING AND NUTRITION PUSA,Delhi,Central,-,Urban,Hotel Management and Catering,Central Government
S-17785,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNLOGY AND APPLIED NUTRITION,Telangana,Hyderabad,1972,Urban,Hotel Management and Catering,Central Government
S-3273,INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY,Uttar Pradesh,Meerut,1987,Urban,Hotel Management and Catering,Private Un-Aided
S-18193,Institute of Hotel Management Catering Technology and Applied Nutrition,Karnataka,Bengaluru Urban,-,Urban,Hotel Management and Catering,Central Government
S-20919,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION,Punjab,Bathinda,2008,Urban,Hotel Management and Catering,State Government
S-17743,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION,Maharashtra,Mumbai,1954,Urban,Hotel Management and Catering,Central Government
S-18215,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION,Odisha,Khordha,1973,Urban,Hotel Management and Catering,Central Government
S-19072,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION,Sikkim,Gangtok,1990,Urban,Hotel Management and Catering,State Government
S-18340,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION,West Bengal,South 24 Parganas,2016,Urban,Hotel Management and Catering,Central Government
S-18263,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION,Rajasthan,Jaipur,1975,Urban,Hotel Management and Catering,Central Government
S-17617,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION,Goa,North Goa,1968,Urban,Hotel Management and Catering,Central Government
S-18338,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION BHOPAL,Madhya Pradesh,Bhopal,1975,Urban,Hotel Management and Catering,Central Government
S-20583,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION BODHGAYA,Bihar,Gaya,2010,Rural,Hotel Management and Catering,State Government
S-17779,"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, DEHRADUN",Uttarakhand,Dehradun,2006,Urban,Hotel Management and Catering,State Government
S-17783,Institute of Hotel Management Catering Technology And Applied Nutrition Guwahati,Assam,Kamrup Metro,-,Urban,Hotel Management and Catering,Central Government
S-13790,"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, HAZIPUR",Bihar,Vaishali,1997,Urban,Hotel Management and Catering,Central Government
S-17749,"Institute of Hotel Management Catering Technology and Applied Nutrition, Jyotisar, Kurukshetra",Haryana,Kurukshetra,2008,Rural,Hotel Management and Catering,State Government
S-18556,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION LUCKNOW,Uttar Pradesh,Lucknow,1969,Urban,Hotel Management and Catering,Central Government
S-21660,"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, NAVA RAIPUR",Chhattisgarh,Raipur,-,Rural,Hotel Management and Catering,State Government
S-16236,"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, PANIPAT",Haryana,Panipat,2012,Urban,Hotel Management and Catering,Private Aided (Government Aided)
S-18355,"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, RANCHI",Jharkhand,Ranchi,2019,Rural,Hotel Management and Catering,State Government
S-17747,INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY and APPLIED NUTRITION ROHTAK,Haryana,Rohtak,2012,Urban,Hotel Management and Catering,State Government
S-15827,"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, TARAMANI, CHENNAI",Tamil Nadu,Chennai,1963,Urban,Hotel Management and Catering,Central Government
S-16235,"INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION, YAMUNANAGAR",Haryana,Yamunanagar,2012,Rural,Hotel Management and Catering,State Government
S-18072,"INSTITUTE OF HOTEL MANAGEMENT, FARIDABAD",Haryana,Faridabad,1989,Urban,Hotel Management and Catering,State Government
S-18001,"INSTITUTE OF HOTEL MANAGEMENT, HAMIRPUR",Himachal Pradesh,Hamirpur,2008,Rural,Hotel Management and Catering,State Government
S-17946,"Institute of Hotel Management, Rajbagh, Srinagar",Jammu and Kashmir,Srinagar,1982,Urban,Hotel Management and Catering,Central Government
S-17622,JODHPUR INSTITUTE OF HOTEL MANAGEMENT,Rajasthan,Jodhpur,-,Urban,Hotel Management and Catering,Private Un-Aided
S-24169,KUKREJA INSTITUTE OF HOTEL MANAGEMENT    ,Uttarakhand,Dehradun,-,Urban,Hotel Management and Catering,Private Un-Aided
S-26336,"MAI INSTITUTE OF HOTEL MANAGEMENT, SINDHUDURG",Maharashtra,Sindhudurg,2024,Rural,Hotel Management and Catering,Private Un-Aided
S-20958,MLRSM INSTITUTE OF HOTEL MANAGEMENT,Uttar Pradesh,Lucknow,-,Urban,Hotel Management and Catering,Private Un-Aided
S-22786,POORNIMA INSTITUTE OF HOTEL MANAGEMENT JAIPUR,Rajasthan,Jaipur,2019,Rural,Hotel Management and Catering,Private Un-Aided
S-19745,RAJASTHAN COLLEGE OF HOTEL MANAGEMENT AND SECURITY  KUCHAMAN CITY,Rajasthan,Nagaur,-,Urban,Hotel Management and Catering,Private Un-Aided
S-21641,ROYAL COLLEGE OF HOSPITALITY MANAGEMENT,Odisha,Sundargarh,-,Rural,Hotel Management and Catering,Private Un-Aided
S-26362,"SHRI SHAKTI INSTITUTE OF HOTEL MANAGEMENT, HYDERABAD",Telangana,Hyderabad,1993,Urban,Hotel Management and Catering,Private Un-Aided
S-17697,STATE INSTITUTE OF HOSPITALITY MANAGEMENT,Kerala,Kozhikode,2008,Urban,Hotel Management and Catering,State Government
S-22288,"STATE INSTITUTE OF HOTEL MANAGEMENT, AGARTALA",Tripura,West Tripura,-,Rural,Hotel Management and Catering,Private Aided (Government Aided)
S-14945,STATE INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY,Tamil Nadu,Tiruchirappalli,1981,Urban,Hotel Management and Catering,State Government
S-21275,"STATE INSTITUTE OF HOTEL MANAGEMENT, BALANGIR",Odisha,Balangir,-,Urban,Hotel Management and Catering,State Government
S-22854,STATE INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION,Nagaland,Dimapur,2023,Urban,Hotel Management and Catering,Private Un-Aided
S-20335,STATE INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION GOVT POLYTECHNIC CAMPUS NEW PALI ROAD JODHPUR,Rajasthan,Jodhpur,-,Urban,Hotel Management and Catering,State Government
S-26516,STATE INSTITUTE OF HOTEL MANAGEMENT CATERING TECHNOLOGY AND APPLIED NUTRITION RAMNAGAR,Uttarakhand,Nainital,2023,Rural,Hotel Management and Catering,State Government
S-21177,"STATE INSTITUTE OF HOTEL MANAGEMENT, DHARAMSHALA",Himachal Pradesh,Kangra,-,Rural,Hotel Management and Catering,State Government
S-22412,"STATE INSTITUTE OF HOTEL MANAGEMENT, DHOLPUR",Rajasthan,Dholpur,-,Rural,Hotel Management and Catering,State Government
S-20606,STATE INSTITUTE OF HOTEL MANAGEMENT DURGAPUR,West Bengal,Paschim Bardhaman,2018,Urban,Hotel Management and Catering,State Government
S-19419,STATE INSTITUTE OF HOTEL MANAGEMENT INDORE,Madhya Pradesh,Indore,2012,Urban,Hotel Management and Catering,State Government
S-19417,"STATE INSTITUTE OF HOTEL MANAGEMENT, JABALPUR",Madhya Pradesh,Jabalpur,2010,Urban,Hotel Management and Catering,State Government
S-22023,"STATE INSTITUTE OF HOTEL MANAGEMENT, JHALAWAR",Rajasthan,Jhalawar,-,Urban,Hotel Management and Catering,State Government
S-22652,STATE INSTITUTE OF HOTEL MANAGEMENT SAWAI MADHOPUR,Rajasthan,Sawai Madhopur,-,Rural,Hotel Management and Catering,State Government
S-18360,STATE INSTITUTE OF HOTEL MANAGEMENT UDAIPUR,Rajasthan,Udaipur,-,Urban,Hotel Management and Catering,State Government
S-26338,STATE INSTITUTE OF HOTEL MANAGMENT TIRUPATI,Andhra Pradesh,Tirupati,2009,Rural,Hotel Management and Catering,State Government
S-22920,"ST FRANCIS INSTITUTE OF HOTEL MANAGEMENT, MUMBAI",Maharashtra,Mumbai Suburban,2022,Urban,Hotel Management and Catering,Private Un-Aided
S-22459,SUNDARGARH INSTITUTE OF MANAGEMENT,Odisha,Sundargarh,-,Rural,Hotel Management and Catering,Private Un-Aided
S-19699,THE LALIT SURI HOSPITALITY SCHOOL,Haryana,Faridabad,2013,Urban,Hotel Management and Catering,Private Un-Aided
